task1,task2,repmatch
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-cos_e_v1.11_question_option_description_text,0.12797287168602148
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-adversarial_qa_droberta_question_context_answer,0.03803123696707189
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-cos_e_v1.11_question_option_description_id,0.23660914227366447
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-dream_generate_first_utterance,0.020858318156873185
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-adversarial_qa_dbert_question_context_answer,0.038340621860697865
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-adversarial_qa_droberta_tell_what_it_is,0.03066360073474546
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-amazon_polarity_convey_negative_or_positive_sentiment,0.5999814147750536
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-app_reviews_convert_to_rating,0.07047146217276652
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-adversarial_qa_droberta_answer_the_following_q,0.03523104529206952
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-dbpedia_14_given_a_list_of_category_what_does_the_title_belong_to,0.10755042204012473
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-app_reviews_categorize_rating_using_review,0.17477228678762913
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-dbpedia_14_given_a_choice_of_categories_,0.1353579101463159
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-adversarial_qa_droberta_generate_question,0.02511494738670687
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-adversarial_qa_dbidaf_question_context_answer,0.046603832859545946
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-dbpedia_14_given_list_what_category_does_the_paragraph_belong_to,0.14765322674065828
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-cos_e_v1.11_description_question_option_text,0.09839434704432885
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-dream_generate_last_utterance,0.027506842433164518
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-adversarial_qa_dbidaf_based_on,0.034485956033070884
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-app_reviews_generate_review,0.0195331514114514
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-amazon_polarity_Is_this_review_negative,0.07783273033176859
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-dream_baseline,0.11384543450549245
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-adversarial_qa_droberta_based_on,0.030312282343705494
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-dbpedia_14_pick_one_category_for_the_following_text,0.13122722444434962
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-adversarial_qa_dbidaf_answer_the_following_q,0.039661806426011026
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-cos_e_v1.11_description_question_option_id,0.243708868821462
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-cos_e_v1.11_explain_why_human,0.021256055527677137
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-cos_e_v1.11_generate_explanation_given_text,0.025064702999467652
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_id,0.22126536319653192
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-dream_read_the_following_conversation_and_answer_the_question,0.11780510377138853
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-adversarial_qa_dbert_tell_what_it_is,0.03277820348739624
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-amazon_polarity_User_recommend_this_product,0.10682049362609784
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-amazon_polarity_Is_this_review,0.5863022059202194
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-dream_answer_to_dialogue,0.027979205672939617
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-adversarial_qa_dbidaf_tell_what_it_is,0.03252082675074538
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-app_reviews_convert_to_star_rating,0.1777774728834629
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-cos_e_v1.11_aligned_with_common_sense,0.022687298711389303
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-amazon_polarity_flattering_or_not,0.21577862401803335
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,0.14620305535693964
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-cos_e_v1.11_rationale,0.03419590229168534
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-cos_e_v1.11_i_think,0.026225006052603323
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-adversarial_qa_dbert_generate_question,0.030729315903348226
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-amazon_polarity_would_you_buy,0.3822813257575035
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-cos_e_v1.11_question_option_description_text,0.1358474629620711
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-adversarial_qa_droberta_question_context_answer,0.034123045314724244
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-cos_e_v1.11_question_option_description_id,0.21085911492506662
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-dream_generate_first_utterance,0.024642679064224165
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-adversarial_qa_dbert_question_context_answer,0.04184245830401778
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-adversarial_qa_droberta_tell_what_it_is,0.03886366061245402
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-amazon_polarity_convey_negative_or_positive_sentiment,0.27967168018221855
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-app_reviews_convert_to_rating,0.0701008594284455
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-adversarial_qa_droberta_answer_the_following_q,0.035780556577568255
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-dbpedia_14_given_a_list_of_category_what_does_the_title_belong_to,0.06843988876789808
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-app_reviews_categorize_rating_using_review,0.1560988419999679
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-dbpedia_14_given_a_choice_of_categories_,0.10935797883818547
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-adversarial_qa_droberta_generate_question,0.030434842842320602
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-adversarial_qa_dbidaf_question_context_answer,0.044022943203647934
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-dbpedia_14_given_list_what_category_does_the_paragraph_belong_to,0.11304399060706298
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-cos_e_v1.11_description_question_option_text,0.11527494248002768
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-dream_generate_last_utterance,0.03195618838071823
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-adversarial_qa_dbidaf_based_on,0.03568936185911298
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-app_reviews_generate_review,0.019511284423060715
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-amazon_polarity_Is_this_review_negative,0.06036614611123999
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-dream_baseline,0.08074209063003461
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-adversarial_qa_droberta_based_on,0.03704220925768217
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-dbpedia_14_pick_one_category_for_the_following_text,0.11957913575073083
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-adversarial_qa_dbidaf_answer_the_following_q,0.04730905701095859
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-cos_e_v1.11_description_question_option_id,0.22989039806028208
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-cos_e_v1.11_explain_why_human,0.028781214961782098
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-cos_e_v1.11_generate_explanation_given_text,0.031445188292612634
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_id,0.19887531300385794
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-dream_read_the_following_conversation_and_answer_the_question,0.08408912364393473
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-adversarial_qa_dbert_tell_what_it_is,0.039968426494548716
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-amazon_polarity_User_recommend_this_product,0.07761021377518773
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-amazon_polarity_Is_this_review,0.2855125380059083
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-dream_answer_to_dialogue,0.02954954149511953
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-adversarial_qa_dbidaf_tell_what_it_is,0.044576166508098446
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-app_reviews_convert_to_star_rating,0.17805168653527895
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-cos_e_v1.11_aligned_with_common_sense,0.029383111900339525
models/result_gpt2_t0-task-amazon_polarity_user_satisfied,models/result_gpt2_t0-task-amazon_polarity_flattering_or_not,0.2326958483705918
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-cos_e_v1.11_rationale,0.04606072740474095
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-cos_e_v1.11_i_think,0.04464486443127195
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-adversarial_qa_dbert_generate_question,0.03616985065552095
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-amazon_polarity_would_you_buy,0.14697403088212013
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-cos_e_v1.11_question_option_description_text,0.4508611584703128
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-adversarial_qa_droberta_question_context_answer,0.08500761725008488
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-cos_e_v1.11_question_option_description_id,0.14343210185567537
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-dream_generate_first_utterance,0.02711099514272064
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-adversarial_qa_dbert_question_context_answer,0.08083674218505621
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-adversarial_qa_droberta_tell_what_it_is,0.07749764885132511
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-amazon_polarity_convey_negative_or_positive_sentiment,0.13730248250067234
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-app_reviews_convert_to_rating,0.0358069248807927
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-adversarial_qa_droberta_answer_the_following_q,0.07312986068427563
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-dbpedia_14_given_a_list_of_category_what_does_the_title_belong_to,0.0848606099995474
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-app_reviews_categorize_rating_using_review,0.09428159488985936
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-dbpedia_14_given_a_choice_of_categories_,0.11372251280893882
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-adversarial_qa_droberta_generate_question,0.02962289230587582
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-adversarial_qa_dbidaf_question_context_answer,0.09055668270836274
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-dbpedia_14_given_list_what_category_does_the_paragraph_belong_to,0.11642466951161623
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-cos_e_v1.11_description_question_option_text,0.576562782128652
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-dream_generate_last_utterance,0.03589388976494471
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-adversarial_qa_dbidaf_based_on,0.08222029047707717
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-app_reviews_generate_review,0.021513946160363655
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-amazon_polarity_Is_this_review_negative,0.03579153555134932
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-dream_baseline,0.14602392601470152
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-adversarial_qa_droberta_based_on,0.09070971592639883
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-dbpedia_14_pick_one_category_for_the_following_text,0.11453511752188206
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-adversarial_qa_dbidaf_answer_the_following_q,0.07589067084093888
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-cos_e_v1.11_description_question_option_id,0.15188282479842505
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-cos_e_v1.11_explain_why_human,0.051896855739566185
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-cos_e_v1.11_generate_explanation_given_text,0.049061236631435655
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_id,0.14889365682999292
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-dream_read_the_following_conversation_and_answer_the_question,0.15422376928230128
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-adversarial_qa_dbert_tell_what_it_is,0.08914667243758838
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-amazon_polarity_User_recommend_this_product,0.0504157617688179
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-amazon_polarity_Is_this_review,0.137535460293293
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-dream_answer_to_dialogue,0.0312635680505385
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-adversarial_qa_dbidaf_tell_what_it_is,0.07236861841132243
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-app_reviews_convert_to_star_rating,0.11239904010047515
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-cos_e_v1.11_aligned_with_common_sense,0.042009777234246336
models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,models/result_gpt2_t0-task-amazon_polarity_flattering_or_not,0.12109596747905016
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-cos_e_v1.11_i_think,0.5669750024875005
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-adversarial_qa_dbert_generate_question,0.036688927405824266
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-amazon_polarity_would_you_buy,0.02582670041980843
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-cos_e_v1.11_question_option_description_text,0.04428612762906899
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-adversarial_qa_droberta_question_context_answer,0.0514923275137941
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-cos_e_v1.11_question_option_description_id,0.023459035515164334
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-dream_generate_first_utterance,0.029897528351284564
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-adversarial_qa_dbert_question_context_answer,0.051603083576386176
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-adversarial_qa_droberta_tell_what_it_is,0.04263945917288462
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-amazon_polarity_convey_negative_or_positive_sentiment,0.02222899110832562
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-app_reviews_convert_to_rating,0.024094672485565145
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-adversarial_qa_droberta_answer_the_following_q,0.048762257055689893
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-dbpedia_14_given_a_list_of_category_what_does_the_title_belong_to,0.01920516082706551
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-app_reviews_categorize_rating_using_review,0.026705221893886726
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-dbpedia_14_given_a_choice_of_categories_,0.026309343714577455
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-adversarial_qa_droberta_generate_question,0.038163860250885286
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-adversarial_qa_dbidaf_question_context_answer,0.052938681251058974
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-dbpedia_14_given_list_what_category_does_the_paragraph_belong_to,0.026940130551035207
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-cos_e_v1.11_description_question_option_text,0.04527599341236055
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-dream_generate_last_utterance,0.030881308251991868
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-adversarial_qa_dbidaf_based_on,0.04303867323324084
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-app_reviews_generate_review,0.028613387956283987
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-amazon_polarity_Is_this_review_negative,0.018818556951979797
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-dream_baseline,0.033178512627879776
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-adversarial_qa_droberta_based_on,0.04635702803110083
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-dbpedia_14_pick_one_category_for_the_following_text,0.027423215137484174
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-adversarial_qa_dbidaf_answer_the_following_q,0.049634010841449104
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-cos_e_v1.11_description_question_option_id,0.022335990720118087
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-cos_e_v1.11_explain_why_human,0.603371279935042
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-cos_e_v1.11_generate_explanation_given_text,0.5771253953377405
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_id,0.021389324916526675
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-dream_read_the_following_conversation_and_answer_the_question,0.0325550491300722
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-adversarial_qa_dbert_tell_what_it_is,0.05290555271009604
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-amazon_polarity_User_recommend_this_product,0.015390725961575905
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-amazon_polarity_Is_this_review,0.024759587404939037
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-dream_answer_to_dialogue,0.03661395727734392
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-adversarial_qa_dbidaf_tell_what_it_is,0.04768136035030087
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-app_reviews_convert_to_star_rating,0.025367414966846507
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-cos_e_v1.11_aligned_with_common_sense,0.5044078727563223
models/result_gpt2_t0-task-cos_e_v1.11_rationale,models/result_gpt2_t0-task-amazon_polarity_flattering_or_not,0.03332216626343628
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-adversarial_qa_dbert_generate_question,0.042783113584543266
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-amazon_polarity_would_you_buy,0.02553923932525019
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-cos_e_v1.11_question_option_description_text,0.03806295897811651
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-adversarial_qa_droberta_question_context_answer,0.048868057783693075
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-cos_e_v1.11_question_option_description_id,0.019713189802132547
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-dream_generate_first_utterance,0.03283678057293097
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-adversarial_qa_dbert_question_context_answer,0.05262005790912857
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-adversarial_qa_droberta_tell_what_it_is,0.04723158432170749
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-amazon_polarity_convey_negative_or_positive_sentiment,0.02546025872773801
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-app_reviews_convert_to_rating,0.021992454305291176
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-adversarial_qa_droberta_answer_the_following_q,0.05215685395523906
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-dbpedia_14_given_a_list_of_category_what_does_the_title_belong_to,0.0156994298643743
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-app_reviews_categorize_rating_using_review,0.02550267183687538
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-dbpedia_14_given_a_choice_of_categories_,0.0225926978358378
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-adversarial_qa_droberta_generate_question,0.04246309267667433
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-adversarial_qa_dbidaf_question_context_answer,0.05230267563213905
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-dbpedia_14_given_list_what_category_does_the_paragraph_belong_to,0.023508384513358276
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-cos_e_v1.11_description_question_option_text,0.0470044844939063
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-dream_generate_last_utterance,0.03763539701079329
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-adversarial_qa_dbidaf_based_on,0.042436134768649936
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-app_reviews_generate_review,0.025153188209515065
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-amazon_polarity_Is_this_review_negative,0.01939026126638055
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-dream_baseline,0.03326587751507759
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-adversarial_qa_droberta_based_on,0.05216728492329518
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-dbpedia_14_pick_one_category_for_the_following_text,0.025950693311945845
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-adversarial_qa_dbidaf_answer_the_following_q,0.04847673520756265
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-cos_e_v1.11_description_question_option_id,0.020172325273354847
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-cos_e_v1.11_explain_why_human,0.5800853843490282
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-cos_e_v1.11_generate_explanation_given_text,0.5681533887982368
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_id,0.01957816075688849
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-dream_read_the_following_conversation_and_answer_the_question,0.03597455626974503
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-adversarial_qa_dbert_tell_what_it_is,0.05062892807958027
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-amazon_polarity_User_recommend_this_product,0.021996261940027278
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-amazon_polarity_Is_this_review,0.02690264586514483
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-dream_answer_to_dialogue,0.03879718746369084
models/result_gpt2_t0-task-cos_e_v1.11_i_think,models/result_gpt2_t0-task-adversarial_qa_dbidaf_tell_what_it_is,0.044119530046979584
